x1=0.15000000000000002 v1=0 x2=0.25 v2=0
x1=0.09622683342958485 v1=-0.15552444391222828 x2=0.2234633514616488 v2=-0.3875637719070848
x1=0.09607286462820948 v1=-0.1524080266324119 x2=0.22307442463620894 v2=-0.3902833969125069
x1=0.0959220080908397 v1=-0.1493000196414343 x2=0.22268279013450595 v2=-0.39297907930578874
x1=0.09577425496086425 v1=-0.14620131528893404 x2=0.2222884721893047 v2=-0.3956502391853703
x1=0.09562959549144924 v1=-0.14311280164085727 x2=0.22189149561156296 v2=-0.39829630007658967
x1=0.09548801904993962 v1=-0.14003536224403015 x2=0.2214918857869314 v2=-0.40091668907791067
x1=0.09534951412249547 v1=-0.1369698758919851 x2=0.22108966867210775 v2=-0.40351083700632956
x1=0.09521406831896184 v1=-0.13391721639210208 x2=0.22068487079104587 v2=-0.40607817854192274
x1=0.09508166837797066 v1=-0.13087825233412653 x2=0.22027751923102093 v2=-0.4086181523714984
x1=0.09495230017227355 v1=-0.12785384686012383 x2=0.21986764163855121 v2=-0.41113020133131367
x1=0.09482594871430382 v1=-0.12484485743593146 x2=0.21945526621517775 v2=-0.4136137725488212
x1=0.09470259816196633 v1=-0.12185213562416825 x2=0.21904042171310276 v2=-0.41606831758340723
x1=0.09458223182465345 v1=-0.11887652685886034 x2=0.2186231374306878 v2=-0.418493292566085
x1=0.09446483216948566 v1=-0.11591887022174319 x2=0.21820344320781282 v2=-0.420888158338107
x1=0.09435038082777489 v1=-0.11297999822029788 x2=0.21778136942109713 v2=-0.42325238058846
x1=0.09423885860170897 v1=-0.11006073656758032 x2=0.21735694697898342 v2=-0.4255854299902065
x1=0.09413024547125536 v1=-0.10716190396390082 x2=0.2169302073166861 v2=-0.42788678233563787
x1=0.0940245206012822 v1=-0.10428431188041132 x2=0.2165011823910051 v2=-0.43015591867020314
x1=0.09392166234889483 v1=-0.10142876434465702 x2=0.21606990467500625 v2=-0.4323923254251789
x1=0.0938216482709857 v1=-0.09859605772814875 x2=0.21563640715256974 v2=-0.43459549454904584
x1=0.09372445513199575 v1=-0.09578698053601156 x2=0.21520072331280787 v2=-0.4367649236375372
x1=0.09363005891188501 v1=-0.09300231319876479 x2=0.21476288714435346 v2=-0.43890011606232565
x1=0.09353843481431041 v1=-0.09024282786628815 x2=0.21432293312952008 v2=-0.4410005810983147
x1=0.09344955727500838 v1=-0.08750928820402798 x2=0.21388089623833598 v2=-0.44306583404950145
x1=0.09336339997038022 v1=-0.08480244919149676 x2=0.2134368119224526 v2=-0.4450953963733782
x1=0.09327993582627778 v1=-0.0821230569231191 x2=0.2129907161089297 v2=-0.4470887958038399
x1=0.093199137026987 v1=-0.07947184841147599 x2=0.21254264519389818 v2=-0.4490455664725659
x1=0.09312097502440715 v1=-0.0768495513929993 x2=0.21209263603610226 v2=-0.4509652490288434
x1=0.09304542054742299 v1=-0.07425688413616709 x2=0.2116407259503228 v2=-0.4528473907578029
x1=0.09297244361146749 v1=-0.07169455525225012 x2=0.21118695270068302 v2=-0.4546915456970331
x1=0.09290201352827258 v1=-0.06916326350865927 x2=0.21073135449383854 v2=-0.45649727475154545
x1=0.09283409891580513 v1=-0.06666369764494263 x2=0.2102739699720532 v2=-0.4582641458070591
x1=0.09276866770838565 v1=-0.06419653619148048 x2=0.2098148382061626 v2=-0.4599917338415751
x1=0.09270568716698693 v1=-0.06176244729092573 x2=0.20935399868842677 v2=-0.4616796210352121
x1=0.09264512388970979 v1=-0.05936208852243661 x2=0.20889149132527401 v2=-0.4633273968782739
x1=0.09258694382243322 v1=-0.05699610672874755 x2=0.20842735642993745 v2=-0.4649346582775213
x1=0.09253111226963606 v1=-0.05466513784612371 x2=0.20796163471498633 v2=-0.4665010096606201
x1=0.09247759390538714 v1=-0.05236980673724349 x2=0.20749436728475373 v2=-0.46802606307873773
x1=0.09242635278450116 v1=-0.05011072702705308 x2=0.2070255956276627 v2=-0.4695094383072624
x1=0.0923773523538572 v1=-0.04788850094163575 x2=0.2065553616084525 v2=-0.47095076294461774
x1=0.09233055546387675 v1=-0.04570371915013828 x2=0.20608370746030705 v2=-0.47234967250914733
x1=0.09228592438015838 v1=-0.043556960609795886 x2=0.20561067577688752 v2=-0.473705810534044
x1=0.09224342079526575 v1=-0.04144879241409616 x2=0.20513630950427092 v2=-0.4750188286602986
x1=0.09220300584066586 v1=-0.03937976964412184 x2=0.20466065193279678 v2=-0.4762883867276445
x1=0.09216464009881443 v1=-0.03735043522311138 x2=0.20418374668882389 v2=-0.4775141528634735
x1=0.092128283615385 v1=-0.035361319774275264 x2=0.20370563772639907 v2=-0.4786958035697
x1=0.0920938959116386 v1=-0.03341294148190545 x2=0.20322636931884025 v2=-0.4798330238075511
x1=0.09206143599693072 v1=-0.031505805955814176 x2=0.20274598605023572 v2=-0.4809255070802599
x1=0.092030862381352 v1=-0.029640406099137696 x2=0.20226453280686177 v2=-0.48197295551364044
x1=0.0920021330884996 v1=-0.027817221979539494 x2=0.2017820547685208 v2=-0.4829750799345235
x1=0.09197520566837554 v1=-0.026036720703846723 x2=0.2012985973998021 v2=-0.4839315999470324
x1=0.09195003721040872 v1=-0.02429935629615265 x2=0.2008142064412675 v2=-0.4848422440066789
x1=0.09192658435659702 v1=-0.022605569579417024 x2=0.2003289279005638 v2=-0.4857067494922597
x1=0.09190480331476616 v1=-0.020955788060595348 x2=0.1998428080434648 v2=-0.486524862775535
x1=0.09188464987194153 v1=-0.01935042581932707 x2=0.1993558933848443 v2=-0.48729633928867033
x1=0.09186607940782962 v1=-0.01778988340021186 x2=0.1988682306795832 v2=-0.4880209435894242
x1=0.09184904690840533 v1=-0.01627454770870213 x2=0.19837986691341228 v2=-0.488698449424065
x1=0.09183350697960156 v1=-0.014804791910638998 x2=0.19789084929369333 v2=-0.48932863978799934
x1=0.09181941386109752 v1=-0.013380975335458015 x2=0.19740122524014078 v2=-0.4899113069840974
x1=0.0918067214402018 v1=-0.012003443383089913 x2=0.19691104237548618 v2=-0.4904462526786988
x1=0.09179538326582691 v1=-0.010672527434580735 x2=0.19642034851608772 v2=-0.49093328795528485
x1=0.09178535256255115 v1=-0.009388544766454714 x2=0.19592919166248748 v2=-0.49137223336580305
x1=0.09177658224476432 v1=-0.008151798468842248 x2=0.19543761998991827 v2=-0.4917629189796298
x1=0.0917690249308934 v1=-0.0069625773673944 x2=0.1949456818387629 v2=-0.49210518443015944
x1=0.0917626329577044 v1=-0.005821155949004268 x2=0.19445342570496804 v2=-0.49239887895900614
x1=0.09175735839467661 v1=-0.004727794291354669 x2=0.19396090023041487 v2=-0.49264386145780803
x1=0.0917531530584453 v1=-0.0036827379963104943 x2=0.1934681541932494 v2=-0.4928400005076218
